เลข,บทความ,URL บทความ,ลิงก์ไปหน้าไหน,วางลิงก์ตรงไหน,ทำไม
12,หินอ่อนสเตเทวอริโอ Statuario Marble,/article/12/,/category/1/ + /product/7/ (ไวท์คาราร่า),ท้ายบทความ,ยังไม่มี Statuario เสนอคาราร่าเป็นทางเลือกใกล้เคียง
11,วิหารพาเธนอน วิหารหินอ่อนแห่งกรีซ,/article/11/,/product/5/ (ไวท์วอลาคัส กรีซ),ตรงที่พูดถึงหินกรีซ,วอลาคัสเป็นหินกรีซจริง เชื่อมได้เนียนมาก
10,หินอ่อนจากเมือง Volakas ประเทศกรีซ,/article/10/,/product/5/,ย่อหน้าแรก,ชื่อบทความตรงกับชื่อสินค้าเป๊ะ
9,แหล่งกำเนิดและการขุด หินอ่อนไวท์คาราร่า,/article/9/,/product/7/,ย่อหน้าแรก,ชื่อบทความตรงกับชื่อสินค้าเป๊ะ
8,แหล่งกำเนิดหินอ่อนดังจากทั่วโลก,/article/8/,/category/1/หินอ่อนต่างประเทศ,ท้ายแต่ละแหล่ง,บทความรวมแหล่ง ควรลิงก์ไปหมวดนำเข้า
7,แกรนิตกับการสร้างสถาปัตยกรรมเอกของโลก,/article/7/,/category/3/หินแกรนิต,ท้ายบทความ,บทความความรู้ ลิงก์เดียวพอ
6,หินอ่อนกับการสร้างสถาปัตยกรรมเอกของโลก,/article/6/,/category/1/,ท้ายบทความ,บทความความรู้ ลิงก์เดียวพอ
5,แกรนิตกับการนำไปประยุกต์ใช้ในการตกแต่งบ้าน,/article/5/,/category/3/ + /product/21/ /25/,กลางบทความ,มีตัวอย่างผิวพ่นทราย/พ่นไฟให้ดูของจริง
4,แกรนิต คืออะไร ในทางธรณีวิทยา,/article/4/,/category/3/,ท้ายบทความ,บทความพื้นฐาน คนยังไม่พร้อมซื้อ อย่ายัดลิงก์
3,หินอ่อน คืออะไร ในทางวิทยาศาสตร์,/article/3/,/category/1/ + /category/2/,ท้ายบทความ,บทความพื้นฐาน คนยังไม่พร้อมซื้อ อย่ายัดลิงก์
2,หินอ่อนที่ดี ควรมีลักษณะอย่างไร,/article/2/,/article/25/ (บทความ hub) + /category/1/,กลางบทความ,ส่งต่อไปบทความที่ช่วยเลือกจริง
1,หินอ่อน Marble ลักษณะ คุณสมบัติที่ต้องรู้,/article/1/,/article/26/ + /category/2/,ท้ายบทความ,บทความเข้าเว็บ ควรส่งต่อไปบทความเปรียบเทียบ
